
(0.16, -0.96, 0.25), (0.61, -0.55, 0.56), (-0.22, 0.00, -0.98), (-0.03, 0.05, -1.00), (0.52, -0.75, -0.41)
(0.18, -0.95, 0.24), (0.62, -0.56, 0.56), (-0.21, 0.00, -0.98), (-0.02, 0.05, -1.00), (0.53, -0.76, -0.37)
(0.18, -0.95, 0.24), (0.62, -0.55, 0.56), (-0.20, -0.01, -0.98), (-0.02, 0.04, -1.00), (0.52, -0.79, -0.32)
(0.18, -0.95, 0.24), (0.62, -0.55, 0.56), (-0.21, -0.01, -0.98), (-0.02, 0.05, -1.00), (0.52, -0.78, -0.35)
(0.56, -0.79, 0.23), (0.68, -0.30, 0.66), (-0.05, -0.06, -1.00), (0.35, -0.20, -0.91), (0.91, -0.40, -0.07)
(0.52, -0.82, 0.26), (0.67, -0.36, 0.65), (-0.13, -0.11, -0.99), (0.18, -0.07, -0.98), (0.84, -0.54, 0.05)
(0.26, -0.89, 0.37), (0.63, -0.34, 0.70), (-0.18, -0.20, -0.96), (0.03, -0.12, -0.99), (0.31, -0.82, 0.48)
(0.16, -0.93, 0.32), (0.63, -0.38, 0.68), (-0.25, -0.03, -0.97), (-0.04, -0.02, -1.00), (0.24, -0.85, 0.47)
(0.15, -0.94, 0.31), (0.63, -0.38, 0.68), (-0.24, -0.01, -0.97), (-0.03, -0.01, -1.00), (0.24, -0.85, 0.46)
(0.05, 0.15, 0.99), (0.01, -0.02, 1.00), (-0.17, 0.81, -0.56), (-0.24, 0.94, 0.23), (0.23, 0.18, 0.96)
(0.04, 0.18, 0.98), (0.01, -0.08, 1.00), (-0.20, 0.74, -0.65), (-0.27, 0.95, 0.17), (0.23, 0.16, 0.96)
(-0.02, 0.20, 0.98), (0.01, -0.11, 0.99), (-0.20, 0.76, -0.62), (-0.25, 0.95, 0.20), (0.25, 0.15, 0.95)
(0.03, 0.17, 0.99), (-0.09, -0.11, 0.99), (-0.17, 0.81, -0.56), (-0.26, 0.92, 0.30), (0.28, 0.13, 0.95)
(0.01, 0.13, 0.99), (-0.16, -0.07, 0.98), (-0.15, 0.81, -0.57), (-0.29, 0.94, 0.20), (0.28, 0.15, 0.95)
(-0.02, 0.12, 0.99), (-0.20, -0.04, 0.98), (-0.09, 0.79, -0.61), (-0.27, 0.96, 0.09), (0.27, 0.18, 0.95)
(-0.22, 0.15, 0.96), (-0.23, -0.09, 0.97), (0.11, 0.79, -0.60), (-0.25, 0.97, 0.03), (0.30, 0.13, 0.94)
(-0.23, 0.23, 0.95), (-0.18, -0.15, 0.97), (0.22, 0.80, -0.56), (-0.19, 0.97, 0.13), (0.28, 0.14, 0.95)
(-0.19, 0.23, 0.95), (-0.11, -0.18, 0.98), (0.19, 0.84, -0.51), (-0.13, 0.98, 0.17), (0.32, 0.18, 0.93)
(0.07, 0.14, 0.99), (-0.15, -0.06, 0.99), (-0.13, 0.80, -0.58), (-0.36, 0.93, 0.09), (0.32, 0.13, 0.94)
(-0.29, 0.11, 0.95), (0.02, -0.14, 0.99), (-0.17, 0.82, -0.55), (-0.32, 0.94, 0.15), (0.32, 0.17, 0.93)
(-0.25, 0.09, 0.96), (0.14, -0.05, 0.99), (-0.24, 0.82, -0.51), (-0.35, 0.92, 0.17), (0.33, 0.16, 0.93)
(0.64, -0.49, 0.59), (0.36, -0.25, 0.90), (0.39, -0.12, -0.91), (0.79, -0.18, -0.59), (0.67, -0.33, 0.66)
(0.35, -0.76, 0.55), (0.38, -0.23, 0.89), (0.26, -0.18, -0.95), (0.60, -0.19, -0.77), (0.41, -0.59, 0.69)
(0.40, -0.73, 0.56), (0.38, -0.19, 0.91), (0.27, -0.16, -0.95), (0.69, -0.21, -0.69), (0.42, -0.52, 0.74)
(0.31, -0.78, 0.54), (0.41, -0.21, 0.89), (0.25, -0.24, -0.94), (0.51, -0.22, -0.83), (0.37, -0.61, 0.71)
(0.19, -0.83, 0.52), (0.46, -0.24, 0.86), (0.13, -0.21, -0.97), (0.35, -0.23, -0.91), (0.32, -0.68, 0.66)
(0.16, -0.79, 0.59), (0.44, -0.25, 0.86), (0.07, -0.17, -0.98), (0.30, -0.25, -0.92), (0.31, -0.70, 0.64)
(0.21, -0.83, 0.52), (0.45, -0.28, 0.85), (0.08, -0.23, -0.97), (0.30, -0.33, -0.89), (0.27, -0.66, 0.70)
(0.17, -0.83, 0.52), (0.44, -0.29, 0.85), (0.08, -0.26, -0.96), (0.28, -0.37, -0.88), (0.23, -0.65, 0.73)
(0.05, -0.84, 0.54), (0.42, -0.28, 0.86), (0.04, -0.29, -0.96), (0.25, -0.42, -0.87), (0.17, -0.69, 0.70)
(0.02, -0.86, 0.51), (0.39, -0.28, 0.88), (0.02, -0.32, -0.95), (0.21, -0.43, -0.88), (0.12, -0.71, 0.69)
(0.15, -0.82, 0.55), (0.45, -0.27, 0.85), (0.04, -0.27, -0.96), (0.27, -0.41, -0.87), (0.28, -0.66, 0.69)
(0.27, -0.79, 0.55), (0.48, -0.26, 0.84), (0.03, -0.20, -0.98), (0.29, -0.34, -0.89), (0.38, -0.65, 0.66)
(0.27, -0.79, 0.54), (0.50, -0.20, 0.84), (0.04, -0.21, -0.98), (0.32, -0.25, -0.92), (0.47, -0.64, 0.60)
(0.42, -0.72, 0.55), (0.56, -0.22, 0.80), (0.09, -0.33, -0.94), (0.34, -0.25, -0.90), (0.59, -0.56, 0.58)
(0.57, -0.66, 0.49), (0.55, -0.25, 0.80), (0.12, -0.32, -0.94), (0.47, -0.31, -0.83), (0.68, -0.46, 0.57)
(0.68, -0.60, 0.42), (0.59, -0.32, 0.74), (0.24, -0.31, -0.92), (0.63, -0.52, -0.57), (0.76, -0.32, 0.57)
(0.72, -0.56, 0.41), (0.61, -0.30, 0.73), (0.44, -0.43, -0.79), (0.80, -0.59, -0.10), (0.82, -0.30, 0.48)
(0.56, -0.61, 0.56), (0.54, -0.24, 0.81), (0.14, -0.37, -0.92), (0.34, -0.28, -0.90), (0.59, -0.51, 0.63)
(0.37, -0.61, 0.70), (0.44, 0.02, 0.90), (0.17, -0.43, -0.89), (0.39, -0.42, -0.82), (0.28, -0.44, 0.85)
(0.32, -0.53, 0.79), (0.37, 0.16, 0.91), (0.13, -0.43, -0.89), (0.35, -0.38, -0.85), (0.27, -0.44, 0.85)
(0.35, -0.54, 0.77), (0.44, 0.07, 0.90), (0.11, -0.41, -0.90), (0.34, -0.38, -0.86), (0.28, -0.44, 0.85)
(0.27, -0.46, 0.85), (0.36, 0.19, 0.91), (0.12, -0.51, -0.85), (0.40, -0.47, -0.79), (0.29, -0.40, 0.87)
(0.27, -0.45, 0.85), (0.35, 0.28, 0.89), (0.11, -0.56, -0.82), (0.37, -0.45, -0.81), (0.36, -0.41, 0.84)
(0.38, -0.43, 0.82), (0.42, 0.18, 0.89), (0.12, -0.52, -0.85), (0.39, -0.52, -0.76), (0.43, -0.36, 0.83)
(0.62, -0.38, 0.69), (0.57, -0.01, 0.82), (0.24, -0.58, -0.78), (0.56, -0.68, -0.47), (0.57, -0.35, 0.74)
(0.73, -0.32, 0.60), (0.69, -0.11, 0.72), (0.60, -0.67, -0.43), (0.62, -0.53, 0.58), (0.85, -0.32, 0.42)
(0.77, -0.37, 0.53), (0.70, -0.15, 0.70), (0.75, -0.52, -0.41), (0.69, -0.44, 0.57), (0.92, -0.26, 0.29)
(0.73, -0.32, 0.60), (0.66, -0.08, 0.75), (0.63, -0.67, -0.40), (0.64, -0.56, 0.54), (0.89, -0.35, 0.27)
(0.56, -0.40, 0.73), (0.49, 0.03, 0.87), (0.18, -0.55, -0.82), (0.43, -0.62, -0.65), (0.60, -0.42, 0.68)
(0.26, -0.50, 0.82), (0.39, 0.03, 0.92), (0.01, -0.45, -0.89), (0.30, -0.42, -0.86), (0.41, -0.47, 0.79)
(0.22, -0.51, 0.83), (0.34, 0.05, 0.94), (0.03, -0.43, -0.90), (0.35, -0.40, -0.84), (0.34, -0.47, 0.82)
(0.21, -0.49, 0.85), (0.36, 0.04, 0.93), (0.01, -0.42, -0.91), (0.33, -0.40, -0.85), (0.34, -0.48, 0.81)
(0.20, -0.50, 0.84), (0.36, 0.02, 0.93), (0.00, -0.40, -0.92), (0.33, -0.39, -0.86), (0.33, -0.48, 0.82)
(0.25, -0.50, 0.83), (0.41, 0.02, 0.91), (0.01, -0.44, -0.90), (0.30, -0.45, -0.84), (0.44, -0.47, 0.77)
(0.54, -0.48, 0.68), (0.52, -0.06, 0.85), (0.16, -0.51, -0.85), (0.40, -0.64, -0.65), (0.57, -0.43, 0.70)
