
(0.02, -0.33, 0.95), (-0.10, 0.98, -0.17), (0.16, 0.24, 0.96), (-0.43, 0.79, -0.44), (-0.52, 0.79, -0.33)
(-0.03, -0.33, 0.94), (-0.15, 0.87, 0.47), (0.01, 0.31, 0.95), (-0.50, 0.61, 0.62), (-0.54, 0.72, 0.43)
(0.04, -0.30, 0.95), (-0.15, 0.83, 0.53), (-0.30, 0.95, 0.02), (-0.56, 0.72, 0.41), (-0.60, 0.71, 0.35)
(-0.04, 0.01, 1.00), (0.56, 0.45, 0.69), (0.58, 0.60, 0.55), (0.42, 0.81, 0.41), (0.40, 0.80, 0.45)
(-0.01, 0.05, 1.00), (0.66, 0.27, 0.70), (0.69, 0.50, 0.53), (0.55, 0.78, 0.31), (0.72, 0.50, 0.48)
(0.37, -0.31, 0.88), (0.12, 0.99, 0.00), (0.18, 0.38, 0.91), (-0.43, 0.87, -0.25), (-0.59, 0.81, -0.05)
(0.21, -0.32, 0.92), (-0.06, 0.99, -0.13), (0.20, 0.42, 0.89), (-0.48, 0.86, -0.18), (-0.54, 0.84, -0.10)
(0.18, -0.37, 0.91), (0.09, 0.89, 0.44), (0.15, 0.25, 0.96), (-0.33, 0.64, 0.70), (-0.40, 0.80, 0.45)
(0.13, -0.31, 0.94), (0.12, 0.53, 0.84), (-0.32, 0.93, 0.19), (-0.45, 0.45, 0.77), (-0.53, 0.62, 0.59)
(0.11, -0.35, 0.93), (-0.12, 0.96, 0.25), (0.07, 0.37, 0.93), (-0.52, 0.84, 0.13), (-0.60, 0.78, 0.17)
(0.31, -0.37, 0.87), (0.08, 0.96, 0.26), (0.04, 0.34, 0.94), (-0.51, 0.80, -0.30), (-0.60, 0.80, -0.06)
(0.08, -0.42, 0.91), (0.23, 0.93, 0.27), (0.11, 0.14, 0.98), (-0.31, 0.87, -0.39), (-0.52, 0.85, -0.12)
(-0.02, -0.41, 0.91), (0.21, 0.94, 0.26), (0.08, 0.23, 0.97), (-0.28, 0.87, -0.41), (-0.43, 0.90, -0.01)
(0.07, -0.44, 0.89), (0.25, 0.90, 0.36), (0.10, 0.18, 0.98), (-0.32, 0.91, -0.27), (-0.55, 0.83, -0.01)
