(0.74, -0.22, -0.64), (-0.44, -0.83, -0.33), (-0.66, -0.62, -0.42), (-0.64, -0.51, -0.57), (-0.31, -0.61, -0.73)
(0.85, 0.48, 0.22), (0.96, -0.20, -0.21), (0.93, -0.29, -0.24), (0.88, -0.42, -0.22), (0.73, -0.54, -0.42)
(0.29, -0.47, 0.83), (0.54, 0.52, 0.66), (0.07, 0.89, 0.45), (-0.02, 0.87, 0.49), (0.19, 0.74, 0.64)
(0.43, -0.41, 0.80), (0.53, 0.68, 0.50), (-0.12, 0.97, 0.22), (-0.21, 0.95, 0.21), (-0.14, 0.88, 0.45)
(0.84, -0.31, -0.45), (0.30, 0.00, -0.95), (0.40, 0.24, -0.89), (0.37, 0.23, -0.90), (0.40, 0.22, -0.89)
(0.96, -0.16, -0.23), (0.39, -0.36, -0.85), (0.47, -0.29, -0.83), (0.59, -0.44, -0.67), (0.67, -0.59, -0.45)
(0.85, -0.46, -0.25), (0.48, -0.64, -0.60), (0.40, -0.58, -0.71), (0.46, -0.66, -0.60), (0.61, -0.77, -0.20)
(0.99, 0.14, 0.09), (0.92, -0.35, 0.20), (0.78, -0.51, 0.37), (0.85, -0.37, 0.38), (0.58, -0.53, 0.62)
(0.99, -0.10, 0.05), (0.57, -0.13, -0.81), (0.70, -0.11, -0.71), (0.76, -0.11, -0.64), (0.83, -0.02, -0.56)
(0.96, -0.05, -0.27), (0.68, 0.48, -0.56), (0.49, 0.65, -0.58), (0.60, 0.65, -0.46), (0.60, 0.71, -0.38)
(0.86, -0.37, -0.34), (0.58, -0.27, -0.77), (0.57, -0.20, -0.80), (0.59, -0.27, -0.76), (0.66, -0.12, -0.75)
(0.68, -0.38, -0.62), (0.36, -0.44, -0.82), (0.39, -0.38, -0.84), (0.44, -0.38, -0.82), (0.45, -0.37, -0.81)
(0.54, -0.57, 0.62), (0.75, 0.45, 0.49), (0.83, 0.40, 0.38), (0.78, 0.43, 0.46), (0.69, 0.24, 0.68)
(0.95, -0.20, -0.23), (0.50, 0.56, -0.66), (0.32, 0.71, -0.62), (0.47, 0.73, -0.50), (0.71, 0.61, -0.34)
