(0.80, 0.12, -0.59), (-0.51, -0.70, -0.50), (-0.70, -0.50, -0.51), (-0.68, -0.36, -0.64), (-0.24, -0.46, -0.86)
(0.83, 0.00, -0.56), (-0.55, -0.73, -0.41), (-0.67, -0.50, -0.54), (-0.49, -0.51, -0.71), (0.06, -0.64, -0.77)
(0.84, -0.03, -0.54), (-0.57, -0.68, -0.45), (-0.66, -0.45, -0.60), (-0.42, -0.49, -0.76), (0.15, -0.63, -0.76)
(0.82, 0.02, -0.58), (-0.51, -0.79, -0.33), (-0.66, -0.62, -0.41), (-0.57, -0.57, -0.59), (-0.09, -0.66, -0.75)
(0.71, 0.23, -0.66), (-0.53, -0.75, -0.40), (-0.73, -0.57, -0.39), (-0.78, -0.43, -0.45), (-0.47, -0.44, -0.77)
(0.71, 0.24, -0.66), (-0.64, -0.70, -0.30), (-0.84, -0.47, -0.27), (-0.90, -0.33, -0.30), (-0.65, -0.36, -0.67)
(0.70, 0.25, -0.67), (-0.72, -0.55, -0.43), (-0.89, -0.32, -0.31), (-0.94, -0.18, -0.30), (-0.74, -0.21, -0.64)
(0.71, 0.16, -0.68), (-0.69, -0.62, -0.37), (-0.87, -0.37, -0.31), (-0.92, -0.22, -0.33), (-0.66, -0.29, -0.70)
(0.70, 0.21, -0.69), (-0.68, -0.66, -0.32), (-0.86, -0.41, -0.29), (-0.92, -0.26, -0.30), (-0.63, -0.34, -0.69)
(0.79, 0.30, -0.54), (-0.56, -0.72, -0.40), (-0.77, -0.48, -0.42), (-0.80, -0.34, -0.49), (-0.48, -0.37, -0.80)
(0.81, 0.17, -0.56), (-0.56, -0.67, -0.48), (-0.72, -0.44, -0.53), (-0.62, -0.37, -0.69), (-0.02, -0.54, -0.84)
(0.84, -0.04, -0.54), (-0.61, -0.65, -0.46), (-0.74, -0.41, -0.53), (-0.55, -0.41, -0.73), (0.05, -0.57, -0.82)
(0.84, -0.05, -0.55), (-0.64, -0.62, -0.46), (-0.77, -0.38, -0.52), (-0.58, -0.38, -0.72), (0.01, -0.53, -0.85)
(0.84, 0.00, -0.54), (-0.60, -0.67, -0.44), (-0.76, -0.45, -0.46), (-0.69, -0.36, -0.62), (-0.15, -0.49, -0.86)
(0.79, 0.10, -0.61), (-0.28, -0.86, -0.43), (-0.57, -0.66, -0.49), (-0.55, -0.54, -0.64), (-0.19, -0.57, -0.80)
(0.82, 0.22, -0.52), (-0.36, -0.55, -0.75), (-0.67, -0.31, -0.67), (-0.70, -0.19, -0.69), (-0.43, -0.14, -0.89)
(0.84, 0.18, -0.51), (-0.52, -0.60, -0.61), (-0.74, -0.38, -0.56), (-0.74, -0.25, -0.63), (-0.43, -0.21, -0.88)
(0.83, 0.26, -0.49), (-0.51, -0.69, -0.51), (-0.73, -0.46, -0.50), (-0.74, -0.33, -0.58), (-0.43, -0.31, -0.85)
(0.72, 0.31, -0.62), (-0.60, -0.80, -0.01), (-0.80, -0.59, -0.13), (-0.83, -0.49, -0.26), (-0.49, -0.62, -0.61)
(0.72, 0.30, -0.63), (-0.63, -0.77, -0.03), (-0.82, -0.56, -0.13), (-0.85, -0.46, -0.24), (-0.53, -0.59, -0.61)
(0.73, 0.37, -0.57), (-0.56, -0.82, -0.14), (-0.72, -0.65, -0.24), (-0.72, -0.59, -0.36), (-0.38, -0.62, -0.68)
(0.75, 0.30, -0.59), (-0.70, -0.68, -0.19), (-0.81, -0.52, -0.27), (-0.82, -0.43, -0.37), (-0.41, -0.55, -0.73)
(0.86, 0.13, -0.49), (-0.67, -0.67, -0.32), (-0.80, -0.42, -0.43), (-0.74, -0.35, -0.58), (-0.29, -0.54, -0.79)
(0.84, 0.12, -0.53), (-0.63, -0.66, -0.41), (-0.80, -0.39, -0.47), (-0.74, -0.29, -0.60), (-0.33, -0.44, -0.83)
(0.85, 0.22, -0.47), (-0.60, -0.56, -0.57), (-0.80, -0.25, -0.55), (-0.73, -0.16, -0.67), (-0.36, -0.26, -0.90)
(0.86, 0.21, -0.46), (-0.64, -0.50, -0.58), (-0.84, -0.16, -0.51), (-0.78, -0.09, -0.62), (-0.44, -0.18, -0.88)
(0.84, 0.15, -0.52), (-0.68, -0.54, -0.50), (-0.80, -0.27, -0.54), (-0.75, -0.13, -0.65), (-0.52, -0.21, -0.83)
(0.75, 0.23, -0.62), (-0.70, -0.62, -0.36), (-0.84, -0.37, -0.40), (-0.82, -0.23, -0.52), (-0.56, -0.36, -0.75)
(0.73, 0.20, -0.65), (-0.69, -0.65, -0.32), (-0.86, -0.38, -0.34), (-0.85, -0.28, -0.45), (-0.48, -0.44, -0.76)
(0.76, 0.19, -0.62), (-0.70, -0.61, -0.36), (-0.84, -0.43, -0.32), (-0.88, -0.31, -0.37), (-0.57, -0.38, -0.72)
(0.74, 0.22, -0.64), (-0.52, -0.74, -0.44), (-0.72, -0.52, -0.46), (-0.77, -0.38, -0.51), (-0.38, -0.44, -0.82)
(0.82, 0.10, -0.56), (-0.62, -0.70, -0.35), (-0.81, -0.46, -0.37), (-0.82, -0.32, -0.47), (-0.34, -0.46, -0.82)
(0.84, 0.05, -0.53), (-0.68, -0.66, -0.32), (-0.85, -0.39, -0.35), (-0.81, -0.30, -0.50), (-0.32, -0.49, -0.81)
(0.86, 0.06, -0.51), (-0.60, -0.71, -0.37), (-0.83, -0.41, -0.39), (-0.80, -0.30, -0.52), (-0.35, -0.48, -0.81)
(0.83, 0.02, -0.55), (-0.63, -0.68, -0.38), (-0.80, -0.42, -0.43), (-0.73, -0.34, -0.60), (-0.25, -0.54, -0.81)
(0.83, -0.05, -0.55), (-0.59, -0.73, -0.36), (-0.81, -0.44, -0.39), (-0.75, -0.34, -0.56), (-0.25, -0.58, -0.78)
(0.77, -0.10, -0.63), (-0.74, -0.63, -0.21), (-0.92, -0.31, -0.26), (-0.89, -0.22, -0.40), (-0.59, -0.44, -0.68)
(0.73, -0.02, -0.68), (-0.77, -0.56, -0.29), (-0.93, -0.23, -0.28), (-0.88, -0.19, -0.43), (-0.59, -0.36, -0.73)
(0.68, -0.02, -0.73), (-0.80, -0.56, -0.21), (-0.94, -0.26, -0.22), (-0.92, -0.18, -0.35), (-0.65, -0.37, -0.66)
(0.73, -0.03, -0.68), (-0.80, -0.54, -0.27), (-0.95, -0.20, -0.26), (-0.92, -0.14, -0.36), (-0.68, -0.27, -0.68)
